#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
7             27     -0.0999853       0.267824    2.29083e-05     0.00733223
7             28      -0.112204       0.258503   -6.73154e-05     0.00706525
7             29       0.114448       0.259133   -5.36245e-05     0.00728669
7             30     -0.0961402       0.267051    4.76634e-05     0.00654816
7             31      0.0947262       0.272577    0.000219614     0.00827158

8              0       0.658716       0.315912      0.0139612      0.0658158
8              1      -0.616913       0.339107      0.0141967      0.0693765
8              2       0.620425       0.337556      0.0120545      0.0663499
8              3      -0.617935       0.338895      0.0130178      0.0695803
8              4       -0.72988       0.270265      0.0240384      0.0676457
8              5       0.647497       0.311837      0.0111681      0.0669657
8              6      -0.626646       0.343133      0.0140485      0.0694275
8              7       0.661507       0.312458      0.0155105      0.0702654
8              8              1              0      0.0668893      0.0697353
8              9      -0.697267       0.297605      0.0231267      0.0685962
8             10       0.641854       0.319562      0.0173493      0.0699487
8             11      -0.696871       0.282266      0.0213849      0.0690223
8             12      -0.712094       0.272597      0.0210537      0.0681895
8             13       0.624152       0.338685      0.0136072      0.0698166
8             14      -0.621415       0.337217      0.0171427      0.0677867
8             15       0.655975        0.31402      0.0170723      0.0684223
8             16      0.0732716       0.273656   -0.000138342     0.00753776
8             17     -0.0820055       0.284408     0.00033162     0.00806789
8             18      0.0627693       0.267551   -0.000182094     0.00707877
8             19     -0.0758169       0.274296    1.85001e-05     0.00712408
8             20     -0.0670345       0.282981    0.000161722     0.00788734
8             21      0.0747511       0.280742    0.000136363     0.00779316
8             22     -0.0854684       0.269161    6.98498e-05     0.00702202
8             23      0.0624139       0.276116   -0.000189123     0.00694456
8             24      0.0702674       0.281301    1.11486e-05      0.0089105
8             25     -0.0700608       0.270187    2.58093e-05     0.00745907
8             26      0.0682502       0.279938   -0.000126906     0.00604761
8             27     -0.0603619       0.281063   -0.000328343     0.00691962
8             28     -0.0714308        0.27317   -0.000166887     0.00700175
8             29      0.0795829       0.275294   -0.000248211     0.00698304
8             30     -0.0668561       0.278104   -0.000209539     0.00712426
8             31      0.0559314       0.276535   -0.000132738      0.0084146

9              0      -0.624609       0.329102      0.0131522      0.0677832
9              1       0.650166       0.315485      0.0164723      0.0680131
9              2      -0.630078       0.329624      0.0137458       0.066122
9              3       0.596881       0.345871      0.0122954      0.0698165
9              4       0.666913        0.30455      0.0175289      0.0705607
9              5      -0.711975       0.267411      0.0201278      0.0678978
9              6       0.624319       0.334183      0.0111892      0.0698583
9              7      -0.597166       0.363352      0.0108205       0.068774
9              8      -0.697267       0.297605      0.0231267      0.0685962
9              9              1              0      0.0673028      0.0706394
9             10      -0.703937       0.294292      0.0245314       0.071182
9             11       0.598216       0.353688      0.0149142       0.068466
9             12       0.647926       0.327168      0.0168799      0.0689358
9             13      -0.707059       0.282534       0.024156      0.0682635
9             14       0.650319       0.317893      0.0175311      0.0688199
9             15      -0.623342        0.32639      0.0176719        0.06639
9             16     -0.0552635       0.278771   -0.000283018      0.0073215
9             17      0.0743613       0.285261    0.000117539     0.00835165
9             18     -0.0440627       0.284306   -0.000111718     0.00720554
9             19      0.0648804       0.284724    0.000105731      0.0070024
9             20      0.0436186       0.286409    0.000355058     0.00765683
9             21     -0.0549681       0.287874    0.000370551     0.00707223
9             22      0.0741317       0.270065   -0.000158485     0.00756493
9             23     -0.0531063       0.276457    0.000221999     0.00729136
9             24      -0.050337       0.280101   -1.66338e-05     0.00839616
9             25      0.0453685       0.268996   -5.36496e-05     0.00740662
9             26      -0.042512       0.288133    0.000405329     0.00724594
9             27      0.0502017       0.281665    -0.00030855     0.00707182
9             28      0.0595176       0.278216   -0.000224216     0.00700399
9             29     -0.0630252       0.280595   -0.000424201     0.00727914
9             30      0.0514988       0.278686   -0.000218287     0.00730023
9             31     -0.0354847       0.278876    0.000181164     0.00819803

10              0       0.615922       0.338142      0.0150833      0.0701305
10              1      -0.635007       0.322685      0.0165332      0.0724355
10              2       0.646635       0.311414       0.017453      0.0694045
10              3       -0.62068       0.345656      0.0138914      0.0726702
