#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
8             19    -0.00965686     0.00473512     -0.0623367     0.00457365
8             20     -0.0357106      0.0453639     -0.0575505     0.00432295
8             21     -0.0051635      0.0113918      0.0623234     0.00456271
8             22      0.0299767      0.0277231     -0.0613136     0.00452655
8             23      0.0158921     0.00697412       0.062321     0.00456579
8             24      -0.192988      0.0330433     -0.0246628     0.00818173
8             25        0.13475      0.0407365      0.0618505     0.00465036
8             26      -0.335765       0.144162    -0.00614655     0.00143164
8             27      0.0916694      0.0397389      0.0618411     0.00465425
8             28      -0.024509       0.045802     -0.0578157     0.00421785
8             29      0.0245072       0.010309      0.0623214     0.00456477
8             30      0.0149722      0.0327507     -0.0612844     0.00451482
8             31     -0.0206803      0.0121756        0.06233     0.00457809

9              0       0.270922       0.153258    5.92839e-05     0.00103459
9              1      -0.103629       0.102493    -0.00141343     0.00286887
9              2       0.564702      0.0378996     0.00104296     0.00150199
9              3     -0.0417226       0.066479    -0.00134122     0.00235109
9              4       0.552672       0.165881     0.00134102     0.00125095
9              5      -0.513757      0.0443562    -0.00259066     0.00410375
9              6       0.903769      0.0283793      0.0015982     0.00193388
9              7      -0.465472      0.0405591    -0.00264694      0.0041132
9              8       0.844502      0.0733053     0.00143763     0.00221446
9              9       0.999336    0.000665649    0.000418841    0.000370373
9             10       0.976147     0.00903223     0.00122111     0.00129651
9             11       0.998445    0.000960958    0.000439852    0.000361193
9             12       0.544135       0.171598     0.00138776     0.00122344
9             13      -0.496972      0.0731394    -0.00280259     0.00418239
9             14       0.904208      0.0330235     0.00161911     0.00190487
9             15      -0.509571      0.0557187    -0.00271999     0.00418031
9             16      0.0236478     0.00723464     0.00554454     0.00859504
9             17      0.0124592     0.00683985    -0.00554341     0.00859362
9             18      0.0233412      0.0104247     0.00554458     0.00859469
9             19     -0.0201728     0.00694981    -0.00554427     0.00859428
9             20      -0.283508      0.0593268    -0.00528413     0.00793664
9             21    -0.00163775     0.00897536     0.00554189     0.00859257
9             22       0.147773      0.0148858    -0.00542702     0.00845726
9             23      0.0135628     0.00613118     0.00554246      0.0085918
9             24        0.28151       0.145182    -0.00142916     0.00352226
9             25       0.117825      0.0380603     0.00547756     0.00853244
9             26      -0.630273      0.0805202   -0.000618021    0.000872093
9             27      0.0843221      0.0359827     0.00547681     0.00853156
9             28      -0.268023      0.0529339    -0.00527358     0.00797542
9             29       0.018169     0.00733468     0.00554189      0.0085916
9             30       0.139196      0.0200297    -0.00542052      0.0084558
9             31     -0.0153606     0.00866242     0.00554386     0.00859423

10              0       0.459805        0.17396    -0.00182462     0.00356729
10              1       0.104964       0.140358     -0.0113676     0.00326267
10              2       0.723065      0.0486954     0.00689499     0.00306894
10              3       0.166863       0.103062     -0.0097643     0.00330021
10              4       0.703583       0.166814     0.00583767     0.00445107
10              5      -0.322789      0.0824927     -0.0173357     0.00625238
10              6       0.973691     0.00753413     0.00868784     0.00417098
10              7       -0.27097      0.0568246     -0.0170546     0.00626021
10              8       0.928312      0.0633508     0.00919716     0.00341761
10              9       0.976147     0.00903223     0.00122111     0.00129651
10             10         0.9997    0.000296004     0.00607013     0.00329245
10             11       0.975959     0.00853138      0.0016627     0.00140696
10             12       0.696078        0.17382     0.00568789     0.00431253
10             13      -0.304442       0.117347     -0.0179749     0.00667065
10             14       0.974007     0.00932917     0.00866265     0.00416296
10             15      -0.318623       0.085124     -0.0176296     0.00641478
10             16      0.0268181     0.00815769       0.036691      0.0130352
10             17     0.00851781     0.00517671     -0.0366866      0.0130316
10             18      0.0263302      0.0116125      0.0366892      0.0130339
10             19     -0.0167554     0.00625386     -0.0366888      0.0130329
10             20      -0.201537       0.063741     -0.0341619      0.0126318
10             21    -0.00325672      0.0103185      0.0366789      0.0130255
10             22       0.103432      0.0106147     -0.0360396      0.0127357
10             23      0.0149381     0.00667419      0.0366793      0.0130297
10             24       0.104416       0.178132     -0.0131035     0.00435333
10             25        0.12893      0.0421933      0.0363535      0.0128391
10             26      -0.531251      0.0609538    -0.00369053     0.00155009
10             27      0.0900924      0.0393561      0.0363478      0.0128371
10             28      -0.186266      0.0584699     -0.0342611      0.0125728
10             29      0.0215396     0.00894258      0.0366788      0.0130279
10             30       0.091487      0.0117477     -0.0360133       0.012709
10             31     -0.0181163      0.0103255      0.0366845      0.0130323

11              0       0.269981       0.156068   -0.000220798     0.00120837
11              1      -0.103986       0.105452    -0.00244623     0.00299996
11              2       0.563355      0.0398877     0.00160394     0.00152272
11              3     -0.0426466      0.0710557    -0.00223101     0.00255673
11              4       0.551441       0.169435     0.00167491      0.0012989
11              5      -0.513821      0.0508165    -0.00398427     0.00414325
11              6       0.903371      0.0274183     0.00228013      0.0020651
11              7       -0.46714      0.0441564    -0.00401098     0.00412384
11              8       0.843718      0.0762264     0.00218784     0.00229351
11              9       0.998445    0.000960958    0.000439852    0.000361193
11             10       0.975959     0.00853138      0.0016627     0.00140696
11             11       0.999315    0.000618612    0.000610402    0.000542164
11             12       0.543131       0.175384     0.00170366     0.00128046
11             13       -0.49695       0.080717       -0.00425     0.00425486
11             14       0.903968      0.0319317     0.00227074     0.00195956
11             15      -0.510546      0.0586772    -0.00415263     0.00426691
11             16      0.0236552     0.00726198     0.00858688     0.00887307
11             17      0.0124059     0.00678421    -0.00858559     0.00887137
11             18       0.023489      0.0106629     0.00858652     0.00887184
11             19     -0.0199813     0.00700773    -0.00858671     0.00887208
11             20      -0.282741      0.0601275    -0.00807234     0.00816121
11             21   -0.000960933     0.00878798     0.00858327     0.00886912
11             22       0.147054      0.0148458    -0.00842201     0.00873483
11             23      0.0136832     0.00618437     0.00858416      0.0088694
11             24       0.278524       0.145857    -0.00273106      0.0038547
11             25       0.119004      0.0382319     0.00849888      0.0088131
11             26      -0.632373      0.0792541   -0.000925572     0.00092055
11             27      0.0863301      0.0358953     0.00849694     0.00881017
11             28      -0.267283      0.0534782    -0.00807712     0.00820762
11             29      0.0179083     0.00721133     0.00858448     0.00887151
11             30       0.138739      0.0191152    -0.00841065     0.00872625
11             31     -0.0150328     0.00840293     0.00858557     0.00887192

12              0       0.946384      0.0188089   -0.000270151     0.00351428
12              1       0.760068      0.0710736    -0.00873365     0.00677935
12              2       0.976771      0.0177942     0.00606532     0.00505784
12              3       0.794014      0.0896073    -0.00781029     0.00602463
12              4       0.997036     0.00159267     0.00620158     0.00555669
12              5       0.415425       0.154149     -0.0145916      0.0116875
12              6       0.821702        0.14749     0.00786564     0.00597982
12              7       0.460513       0.189498     -0.0144049      0.0112117
12              8       0.904533      0.0304901     0.00771877     0.00591326
12              9       0.544135       0.171598     0.00138776     0.00122344
12             10       0.696078        0.17382     0.00568789     0.00431253
12             11       0.543131       0.175384     0.00170366     0.00128046
12             12       0.998171      0.0016537     0.00613677     0.00519178
12             13       0.435594       0.120193     -0.0153024      0.0118498
12             14       0.817805       0.154763     0.00784683     0.00583137
12             15       0.418557       0.171958     -0.0149513      0.0116881
12             16      0.0276788     0.00878352      0.0308895      0.0240546
12             17    -0.00756788     0.00513154      -0.030885      0.0240504
12             18      0.0264959      0.0112803      0.0308892      0.0240545
12             19     0.00081024     0.00683927     -0.0308876      0.0240501
12             20        0.16601       0.104717     -0.0291063      0.0227616
12             21    -0.00675878      0.0111682      0.0308784      0.0240453
12             22     -0.0706183      0.0313085     -0.0302886       0.023592
12             23      0.0142884     0.00629472      0.0308787      0.0240457
12             24      -0.535482      0.0494749    -0.00932833     0.00761373
12             25       0.123076      0.0456927      0.0305448      0.0237579
12             26     -0.0366727       0.177931    -0.00312616     0.00228005
12             27      0.0816127      0.0422637      0.0305414      0.0237568
12             28       0.171656       0.099143     -0.0291287      0.0227851
12             29      0.0242866      0.0105917      0.0308787      0.0240449
12             30     -0.0872052       0.034438     -0.0302624      0.0235762
12             31     -0.0203173      0.0120096      0.0308841      0.0240481

13              0        0.68744      0.0736383     0.00870904       0.012081
13              1       0.907203       0.021065      0.0396588     0.00680066
13              2        0.42472      0.0748382     -0.0223369     0.00507259
13              3       0.879811      0.0194292      0.0330528     0.00400902
13              4       0.426117       0.121615     -0.0161543       0.011757
13              5       0.991192     0.00603433      0.0574398     0.00415209
13              6     -0.0888462       0.146805      -0.026814       0.006821
13              7       0.988068      0.0076713       0.056196     0.00414892
13              8      0.0245082      0.0718288     -0.0302696     0.00278932
13              9      -0.496972      0.0731394    -0.00280259     0.00418239
13             10      -0.304442       0.117347     -0.0179749     0.00667065
13             11       -0.49695       0.080717       -0.00425     0.00425486
13             12       0.435594       0.120193     -0.0153024      0.0118498
13             13       0.996029     0.00340126      0.0589183     0.00513604
13             14     -0.0912547        0.15857     -0.0265566     0.00733562
13             15       0.991016     0.00582838      0.0580653     0.00379991
13             16     0.00384558     0.00349541      -0.121189     0.00534699
13             17     -0.0213266      0.0110174       0.121177     0.00534715
13             18     0.00276813     0.00246058      -0.121183     0.00534855
13             19      0.0225038       0.010116       0.121181     0.00534844
13             20        0.46459      0.0826667       0.111991      0.0071688
13             21    -0.00592249     0.00354912      -0.121157     0.00534448
13             22      -0.238607      0.0299487       0.119174     0.00494246
13             23    0.000364424    0.000944303      -0.121152     0.00534479
13             24      -0.855444      0.0462545      0.0472889      0.0143519
13             25     0.00124396     0.00620967      -0.120207       0.005042
13             26       0.650164      0.0439568      0.0118855     0.00238418
13             27    -0.00671527     0.00602847      -0.120189     0.00506344
13             28       0.455847      0.0724496       0.112493     0.00671286
13             29       0.006315     0.00398595      -0.121152     0.00533824
13             30      -0.247772      0.0351187       0.119118     0.00495982
13             31     -0.0053039     0.00431778      -0.121168     0.00535601

14              0       0.631067       0.177136     -0.0032626     0.00524296
14              1        0.31443       0.168587     -0.0172111     0.00361779
14              2       0.851285      0.0544658      0.0101699     0.00369995
14              3       0.373798         0.1312     -0.0145942     0.00351753
14              4       0.823901       0.146892     0.00808771     0.00586395
14              5      -0.109891       0.122189     -0.0257076     0.00673433
14              6       0.997456      0.0015633      0.0125765     0.00507657
14              7     -0.0556249      0.0871752       -0.02526     0.00692314
14              8        0.96917       0.037405      0.0136235     0.00383883
14              9       0.904208      0.0330235     0.00161911     0.00190487
14             10       0.974007     0.00932917     0.00866265     0.00416296
14             11       0.903968      0.0319317     0.00227074     0.00195956
14             12       0.817805       0.154763     0.00784683     0.00583137
14             13     -0.0912547        0.15857     -0.0265566     0.00733562
14             14       0.998632     0.00130019      0.0125855     0.00531035
14             15      -0.105476       0.119939     -0.0260813     0.00692558
14             16      0.0288017     0.00878379      0.0543332       0.013832
14             17     0.00400642     0.00397777     -0.0543274      0.0138289
14             18      0.0280799      0.0122387      0.0543307      0.0138311
14             19     -0.0124091     0.00601485     -0.0543304      0.0138315
14             20      -0.106758      0.0681912     -0.0504439      0.0136064
14             21    -0.00483815      0.0112933      0.0543166      0.0138194
14             22      0.0523427      0.0214856     -0.0533894      0.0134753
14             23      0.0156264     0.00690725      0.0543162       0.013826
14             24      -0.082314       0.202517     -0.0201277     0.00581635
14             25       0.133433       0.041663      0.0538586      0.0136079
14             26        -0.4013      0.0440065      -0.005453     0.00193142
14             27      0.0910617      0.0387514      0.0538504      0.0136084
14             28     -0.0924208      0.0640343     -0.0506142      0.0134786
14             29      0.0239528      0.0101089      0.0543151      0.0138201
14             30      0.0374879      0.0195936     -0.0533552      0.0134433
14             31     -0.0201306      0.0116368      0.0543238        0.01383

15              0       0.672232       0.114432     0.00883487      0.0118351
15              1       0.897472      0.0397935      0.0392791     0.00745343
15              2       0.413622      0.0634958     -0.0219443     0.00438852
15              3       0.873239      0.0311359      0.0326237     0.00392402
15              4       0.410755       0.173564     -0.0157556      0.0113527
15              5       0.992656     0.00410534      0.0566685     0.00341739
15              6      -0.102271       0.109923     -0.0263413     0.00633968
15              7       0.990031       0.004581      0.0555246     0.00463786
15              8      0.0103212       0.124828     -0.0298984     0.00295359
15              9      -0.509571      0.0557187    -0.00271999     0.00418031
15             10      -0.318623       0.085124     -0.0176296     0.00641478
15             11      -0.510546      0.0586772    -0.00415263     0.00426691
15             12       0.418557       0.171958     -0.0149513      0.0116881
15             13       0.991016     0.00582838      0.0580653     0.00379991
15             14      -0.105476       0.119939     -0.0260813     0.00692558
15             15       0.995377     0.00480702      0.0574009     0.00477071
15             16     0.00332473     0.00312124      -0.119632     0.00495006
